Tweet_count,Username,Text,Created At,Retweets,Likes
1,CZ 🔶 BNB,Don't underestimate a Chinese man with a dog named Broccoli. 🐕‍🦺😆 https://t.co/pJrzciauvc,Sat Feb 15 11:41:45 +0000 2025,1452,12858
2,CZ 🔶 BNB,The moon in Rio. https://t.co/FPimt3Ys4b,Sat Mar 19 19:55:49 +0000 2022,223,3369
3,CZ 🔶 BNB,Happy Mid Autumn (Moon) Festival! https://t.co/Yv3L9cCuyf,Tue Sep 21 14:13:57 +0000 2021,467,3590
4,CZ 🔶 BNB,"I'm giving away a DOGE Tesla &amp; $50,000 in $DOGE. Which do you want?

To enter:
🔸Retweet
🔸Follow @elonmusk, @binance, @cz_binance
🔸Have a KYC'd Binance account
🔸Tweet the prize you want &amp; why with hashtags #DOGEorTesla &amp; #Binance

Our favorite answer from each 'team' will win. https://t.co/A2VLB6fh4a",Mon Nov 29 13:21:05 +0000 2021,78178,76738
5,CZ 🔶 BNB,"#bnb market cap only 3% higher than #doge. 😂

For everyone in the #binance ecosystem, don’t get distracted, just keep #buidling. 💪 https://t.co/zhCmrjnqEy",Sat May 08 05:20:22 +0000 2021,2143,14345
6,CZ 🔶 BNB,"Broccoli's Story

A year and a half ago, I casually chatted with a friend who owned a (real) zoo in Dubai. Curious, I asked what dog breed is adapted to the Dubai summer heat. I had no plans to get a dog. 

Later that evening, my doorbell rang, and a young Belgian Malinois showed https://t.co/vSLiHiS4fC",Thu Feb 13 16:12:00 +0000 2025,3891,26608
7,CZ 🔶 BNB,"#bitcoin is king. 

#doge🐕‍🦺, well, is like the king's dog.

https://t.co/iibp0qkDSG https://t.co/QRh5y2qKZ4",Fri Jan 29 05:25:18 +0000 2021,222,1442
8,CZ 🔶 BNB,#DOGE fixes this. 😆,Fri Jan 29 01:54:35 +0000 2021,194,1454
9,CZ 🔶 BNB,"Moving forward @Binance will be using the app and web home pages to display “hot” coins which will continue to rotate.

We’re starting with $DOGE. https://t.co/GiNsAxY3Dn",Fri Jan 29 11:01:16 +0000 2021,200,1418
10,CZ 🔶 BNB,"Our Chinese and Arabic ancestors figured out crypto. They both made MOON festivals! And they both land on today.

中秋快乐！ https://t.co/YI29h8CmHL",Fri Sep 29 13:17:38 +0000 2023,563,3345
11,CZ 🔶 BNB,"@theveeman @MagUraCrypto @alistairmilne Yes, not a Shiba Inu, but a Belgian Malinois.",Wed Feb 12 18:02:35 +0000 2025,136,1437
12,CZ 🔶 BNB,"For those asking for a CA (contract address) from me, no, I am NOT issuing a meme coin. I am just posting a photo of my dog and his name, as some of your requested.

I also took advice from this thread yesterday. Let the best meme coin in the community win. 🙏🙏🙏",Thu Feb 13 16:27:24 +0000 2025,1189,10014
13,CZ 🔶 BNB,Happy Moon Festival!,Sat Sep 10 07:01:19 +0000 2022,317,1812
14,CZ 🔶 BNB,"Some have voiced concerns about $SHIB listing. We follow users. There is a large number of users demanding it, to the point where we ran out of ETH deposit addresses due to SHIB today. Never happened before for any other ERC20 coin.

Not endorsing it. Super high risk. NFA.",Mon May 10 15:44:44 +0000 2021,2117,9604
15,CZ 🔶 BNB,"I remember everyone was tipping everyone else 20,000 #DOGE in 2014, lol... 😆",Thu May 06 04:37:13 +0000 2021,880,7850
16,CZ 🔶 BNB,"@0xAlexon 收到反馈，感谢！

我试了meme。但我肯定无法成为真正的冲土狗的用户。我从来不追快钱。心态无法复制。

您可能不知道，我也从来不是CEX的标准用户。我是hodler。😆

我是铁匠。做工具。不是每个铁匠都会武术。不会武术的铁匠有时也能打磨出宝剑来。😂

学习ing🙏",Sat Feb 22 11:15:24 +0000 2025,78,872
17,CZ 🔶 BNB,"I under estimated $DOGE, and #ETH, and #BTC, and #BNB, and many more.

Not financial advice.",Tue May 04 16:33:20 +0000 2021,3532,26079
18,CZ 🔶 BNB,"@cryptolyxe Nah, that would be lying. If we do it, we do it proper. It's just sharing a photo and name of a dog.",Wed Feb 12 18:42:29 +0000 2025,93,2053
19,CZ 🔶 BNB,"Something to keep you busy during the upgrade. Markets won't move much. 

This where the word #SAFU came from.

https://t.co/Q7rCRspNW5",Fri Aug 13 03:15:34 +0000 2021,248,2019
20,CZ 🔶 BNB,"@binance @Cristiano Rebuilding starts, to the moon. ⚽️",Tue Nov 15 15:24:39 +0000 2022,1336,10719
