Tweet_count,Username,Text,Created At,Retweets,Likes
1,Elon Musk,"The @DOGE department/agency leaderboard shows progress within the government, so the public can see for themselves who is making the most or least progress!",Tue Feb 25 19:25:00 +0000 2025,6058,27814
2,Elon Musk,@cb_doge @dvorahfr I will pay a million Dogecoin for proof of this mine’s existence!,Wed Apr 12 22:02:19 +0000 2023,3710,47786
3,Elon Musk,"Hundreds of federal workers are being promoted daily every time we encounter excellence. The @DOGE team will be more clear about this. 

The goal is to make the federal government a meritocracy as much as possible.",Thu Feb 27 15:36:42 +0000 2025,16394,117865
4,Elon Musk,"@nicksortor DOGE has very high approval from the people as a whole, but the grifters super hate it",Sat Mar 01 21:00:09 +0000 2025,454,3992
5,Elon Musk,Important to note that the date of publication of the half trillion dollar annual fraud estimate from @USGAO is last year during the BIDEN administration,Tue Mar 04 20:15:04 +0000 2025,14888,59439
6,Elon Musk,"@DOGE will greatly improve government efficiency, saving your tax dollars and ending rampant inflation",Tue Jan 21 03:19:17 +0000 2025,4707,40504
7,Elon Musk,"More of your tax dollars saved!

Most of these items are mundane and may not seem like much individually, but there are millions of minor savings that add up to billions of dollars cumulatively. 

Ultimately, there will be a trillion+ dollars of waste and fraud eliminated.",Wed Feb 26 01:35:39 +0000 2025,13268,78639
8,Elon Musk,Corruption,Wed Feb 26 22:09:29 +0000 2025,12815,60328
9,Elon Musk,"@cb_doge Naturally, our official mascot will be the Doge",Mon Sep 09 01:36:06 +0000 2024,842,5277
10,Elon Musk,@DataRepublican @DOGE_SSA That’s weird,Sun Mar 02 22:26:28 +0000 2025,799,8357
11,Elon Musk,@BasedMikeLee @DOGE Sounds logical,Thu Feb 27 05:59:12 +0000 2025,105,1827
12,Elon Musk,@dinkin_flickaa We rebranded to a Shiba Inu dog for a while. No impact.,Tue Jul 25 02:17:32 +0000 2023,724,4902
13,Elon Musk,@cb_doge I’m a big fan of Susie Wiles,Sat Mar 08 14:53:03 +0000 2025,314,3829
14,Elon Musk,"Obviously, @DOGE is trying to STOP your tax dollars from being stolen for WASTE and FRAUD. 

@RepJeffries wants that to continue.",Tue Feb 04 20:05:29 +0000 2025,49510,242043
15,Elon Musk,So many such situations,Fri Feb 28 07:18:51 +0000 2025,3104,17016
16,Elon Musk,"This is an amazing story and exactly what @DOGE aims to do!

The federal government has a MUCH larger amount of WASTE &amp; FRAUD than a local or state government could ever have, because it can always print more money. 

Unfortunately, there is no free lunch and that extra money",Tue Feb 25 15:31:46 +0000 2025,12518,61640
17,Elon Musk,@DOGE Crazy that the government was just renting and paying for upkeep services of hundreds of empty buildings!,Wed Feb 26 04:35:32 +0000 2025,744,8103
18,Elon Musk,"The taxpayer savings receipts, including corrections when mistakes are made, are posted on the DOGE website. 

When there are complaints, they should be directed towards specific items, but they just yell “constitutional crisis!” and avoid mention of specific line items.",Thu Feb 27 15:21:45 +0000 2025,7856,44142
19,Elon Musk,@DOGE $30B/year of credit card spend!,Thu Feb 27 05:02:25 +0000 2025,861,7376
20,Elon Musk,@EricTrump @DOGE Absolutely,Wed Feb 26 05:19:27 +0000 2025,173,2677
