Tweet_count,Username,Text,Created At,Retweets,Likes
1,H.E. Justin Sun 🍌,猥琐发育良久后，孙哥出装了，多米尼克领主的致意，是火币作为射手输出急需的暴击装，最后的轻语叠加穿甲，附赠攻速，预计会打出一波小高潮 😎 https://t.co/onUkUO38Rn,Wed Nov 30 06:08:03 +0000 2022,297,545
2,H.E. Justin Sun 🍌,说 @sunpumpmeme 和波场TRON @trondao 手续费高的已经成为历史！在昨日官方补贴90%手续费后，今天官方再度降价90%，现在每笔交易手续费已经降低到0.352TRX一笔，也将相当于美元0.04576一笔，人民币价格3毛不到！欢迎来交易 👏 https://t.co/jYaWRPeW4h,Fri Aug 16 12:07:54 +0000 2024,61,306
3,H.E. Justin Sun 🍌,"I’m willing to donate my banana to Elon Musk, tape it to the body of a SpaceX rocket, and send it to both Mars and the Moon! 🚀🍌🌕🔴 https://t.co/J1eOJEEfp4",Thu Nov 21 16:26:24 +0000 2024,458,2519
4,H.E. Justin Sun 🍌,legend,Wed Nov 13 20:09:08 +0000 2024,47,453
5,H.E. Justin Sun 🍌,凉兮象征了我们币圈越挫越勇的精神，代表了我们币圈人“可以被打败，但不能被打垮”的意志，对于今天在熊市中坚持梦想具有独特意义。孙哥火币梦想基金，特此奖励凉兮50000美元在火币合约继续翻本，如果梭哈赔了算我们，赚了随机抽取一名转发本推特的人打10000U @liangxied @HuobiGlobal,Mon Oct 17 16:17:00 +0000 2022,11240,8622
6,H.E. Justin Sun 🍌,今天是孙哥入职火币第三十天。这个月，过得跌宕起伏，币圈一月，人间一年。个人评价，功过各半，给自己打个60分。表个态，我本月就不领工资了，把我的工资拿出来做活动，搞了个余币宝，火币无风险无锁仓无上限U利率到3%-10% ，突破10亿U随机抽取一名转发本推特的人打10000U https://t.co/oM3B885Mb5,Mon Nov 07 15:22:37 +0000 2022,3261,2520
7,H.E. Justin Sun 🍌,关于在 TRON 网络重新铸造 PGALA通知：众所周知，由于pGALA代理合约Admin角色owner私钥在Github已泄漏，存在巨大隐患。为了保证火币用户利益，@huobiglobal决定在 #TRON 重新铸造100%去中心化 PGALA Meme Token（PGALA) ！未来欢迎其他交易所上线燃烧，共同打造PGALA社区！https://t.co/1gyaz3clNN,Mon Nov 07 15:06:44 +0000 2022,315,387
8,H.E. Justin Sun 🍌,"有人给我说，白收到2000万美元，要不然捐了。有人说meme季来了，all in meme币。还有人说波场上要大力发展meme生态。我想了个主意，每周在
https://t.co/OE3UOaS7Pl按深度和交易量挑3个波场土狗，每个买20万美元，然后直接加LP销毁。一下满足三个要求，all in meme，发展生态，全部捐了！如何？",Mon Mar 18 10:02:06 +0000 2024,66,602
9,H.E. Justin Sun 🍌,火必本次与Visa合作发卡，未来我提出的思路是，每个火币用户，骄傲的多米尼克元宇宙公民，都将通过注册火币 @HuobiGlobal ，充值入金，自动获得多米尼克元宇宙公民身份，银行卡，银行账户，全球消费，享受与生俱来的身份自由，金融自由与财富自由。一卡在手，走遍天下。一日火必人，终身火必人！,Thu Dec 22 09:04:00 +0000 2022,56,443
10,H.E. Justin Sun 🍌,Meme币本质不就是拼哪个持币人数多，就有热度吗？如果在波场上发个meme币，空投给用过或持有波场U的人，会不会有热度？,Mon Dec 04 09:19:40 +0000 2023,64,564
